CI_PROJECT_PATH,(blank)
Repo name,Solutions
,
Row Labels,Sum of Artifact Size (GB)
adhoc,20.88965438
Garrison 2.4.0,0.001020177
Garrison 2.4.1,7.05E-06
Garrison 2.4.10,3.21E-05
Garrison 2.4.11,5.120222679
Garrison 2.4.12,0.000110697
Garrison 2.4.13,3.01E-05
Garrison 2.4.14,1.00E-05
Garrison 2.4.15,1.00E-05
Garrison 2.4.16,18.0585851
Garrison 2.4.17,2.85E-05
Garrison 2.4.18,1.93E-05
Garrison 2.4.19,18.09523761
Garrison 2.4.2,7.532215635
Garrison 2.4.20,18.49748228
Garrison 2.4.202411,27.66582403
Garrison 2.4.21,9.221952129
Garrison 2.4.22,9.221941318
Garrison 2.4.3,0.374924287
Garrison 2.4.4,3.0719139
Garrison 2.4.5,0.37590625
Garrison 2.4.6,1.761671569
Garrison 2.4.7,2.11E-05
Garrison 2.4.8,3.17E-05
Garrison 2.4.9,3.21E-05
Garrison 2.7.0,0.003801298
Garrison 2.8.4,1.28E-05
Garrison 2U.10.4,17.57174792
Garrison 3.1.2,0.000232041
Garrison 3.1.5,17.70777417
Garrison 3.1.6,7.09E-05
Garrison 3.1.7,17.74860864
Garrison 3.1.8,3.57E-05
Garrison 3.1.9,17.74860677
Garrison 3.2.0,690.0348656
Garrison 3.2.0.ubuntu.24.04,2.41E-05
Garrison 3.2.0_ubuntu_24_04,1.21E-05
Garrison 3.2.1,6.02E-05
Garrison 3.T.0,289.6659985
Garrison 3.V.0,4.008907572
Garrison 9.9.9,20.97769657
Garrison Adhoc,873.2612226
Garrison Garrison 3.2.0,54.33287781
Garrison Garrison 3.2.0.ubuntu.24.04,36.1395783
Garrison Garrison 3.2.0_ubuntu_24_04,18.11095927
Garrison Garrison 3.2.1,106.2847005
Garrison Garrison adhoc,20.88965438
Garrison NoVersion,0.042987701
Grand Total,2324.41932
